,index,name,id,mean_shear,time_before_tcg,mean_shear_hu,time_before_hu,lat,final_inten,mean_shear_max,time_ts_max,mean_shear_cat1,time_ts_cat1,mean_shear_cat1_65,time_ts_cat1_65,E_MPI,distance
149,11,2000_CARLOTTA,"['ep032000', 'EP_03']",7.912665666666666,36,8.502973333333335,36,12.9,135.0,8.807301333333331,126,7.547442999999999,60,7.547442999999999,60,76.00799137521321,251.6301251336584
150,12,2000_DANIEL,"['ep062000', 'EP_06']",9.04216,36,8.781595500000002,24,10.9,110.0,9.166401833333332,288,9.009351,48,8.9379342,60,79.13140757716178,999.3874186201701
151,3,2001_JULIETTE,"['ep112001', 'EP_11']",5.223344999999998,12,5.32844825,48,13.0,125.0,9.990005043478265,276,5.3074276,60,5.223344999999998,12,82.96369125036298,247.07287725265215
152,5,2001_ADOLPH,"['ep012001', 'EP_01']",7.7584125,24,4.553431000000002,24,13.6,125.0,3.975776416666666,144,6.155921750000001,48,6.155921750000001,48,67.39288999526862,376.9837889528314
153,2,2002_FAUSTO,"['ep082002', 'EP_08']",5.392730999999998,12,7.217827,24,12.8,125.0,7.255722666666666,288,6.6094616666666655,36,6.003893999999999,24,77.99870313910355,826.33882213371
154,3,2002_KENNA,"['ep142002', 'EP_14']",4.949428000000001,12,5.745237,36,11.5,145.0,8.966368666666666,90,5.54628475,48,4.949428000000001,12,,596.2657708298443
155,4,2002_ALMA,"['ep012002', 'EP_01']",6.59731725,48,6.2036474,60,10.7,100.0,6.8977485,144,5.915386,96,5.819465999999999,84,67.40751512153955,878.7773850638207
156,8,2002_ELIDA,"['ep062002', 'EP_06']",4.715187,12,10.173688999999998,24,11.9,140.0,6.209395333333332,198,7.608864499999999,24,4.715187,12,79.21409209162057,511.8196273867423
157,11,2002_HERNAN,"['ep102002', 'EP_10']",2.2987660000000005,12,2.6035844999999984,24,13.9,140.0,5.96890124137931,174,1.988225,24,4.700161769230768,156,82.63648324988625,446.69380352965646
158,0,2004_DARBY,"['ep052004', 'EP_05']",8.204386,12,9.0715355,24,12.5,105.0,8.269102272727274,132,8.782485666666666,36,8.255507,24,78.19220522517512,1329.0234705901503
159,3,2005_KENNETH,"['ep112005', 'EP_11']",8.968912,12,7.329225000000001,24,12.9,115.0,8.84924406451613,372,7.875787333333334,36,8.281661639344263,366,75.85113814770573,1507.407229780171
160,14,2005_JOVA,"['ep102005', 'EP_10']",6.060610333333332,72,7.587881999999998,36,13.8,110.0,8.8614816,240,6.569700888888888,108,6.95478275,144,69.79018336875284,2035.7521510635695
161,0,2006_DANIEL,"['ep052006', 'EP_05']",5.3454250000000005,24,1.6886203333333327,36,12.3,130.0,4.6530025,264,3.679796,48,4.320716,36,74.9958588122625,1137.9297384708268
162,3,2006_JOHN,"['ep112006', 'EP_11']",3.6225710000000007,12,2.9110734999999988,24,13.1,115.0,3.834921793103448,174,3.1482393333333327,36,3.2189439999999987,24,80.19483563200967,316.27495785043334
163,11,2006_LANE,"['ep132006', 'EP_13']",8.876589000000003,12,3.8031476666666655,36,16.7,110.0,5.073034000000001,84,5.071508000000001,48,7.239191000000002,24,,138.99365830569843
164,13,2006_BUD,"['ep032006', 'EP_03']",5.516337,12,10.431201499999998,24,13.5,110.0,8.89828872,150,8.1864555,24,8.11274122222222,108,70.88125781260305,961.5957534265565
165,17,2006_ILEANA,"['ep102006', 'EP_10']",6.727981,12,6.518919,24,12.5,105.0,4.9851364,180,6.588606333333334,36,6.727981,12,81.5146550750754,571.8159480085126
166,5,2007_FLOSSIE,"['ep092007', 'EP_09']",5.717005999999998,12,10.622078666666669,36,13.2,120.0,10.373849333333332,180,9.3958105,48,5.717005999999998,12,65.6413766831595,2206.5891844583575
167,9,2009_JIMENA,"['ep132009', 'EP_13']",7.868971200000002,60,3.145695999999999,24,13.7,135.0,9.85637256,150,6.890118500000001,72,5.472591666666665,108,76.19329555910244,403.65790073507117
168,13,2009_RICK,"['ep202009', 'EP_20']",4.070960666666665,36,4.1593415,24,12.1,155.0,11.56118442105263,114,4.106312999999999,60,4.6003555,72,79.55591090986857,392.9019119591245
169,16,2009_GUILLERMO,"['ep102009', 'EP_10']",7.015087000000001,84,7.984387666666666,36,16.1,110.0,12.310804312499998,192,6.745614777777778,108,10.079957384615383,156,72.41931632058838,1255.666170699128
170,3,2010_CELIA,"['ep042010', 'EP_04']",7.679950666666667,36,13.020950666666666,36,12.8,140.0,9.115789500000002,264,9.3375936,60,9.3375936,60,79.64798812793083,370.3196958155605
171,1,2011_EUGENE,"['ep052011', 'EP_05']",9.1966675,24,14.753723666666668,36,10.6,120.0,11.23791336842105,228,12.5309012,60,11.5734125,48,81.85164747246878,680.0979250661829
172,3,2011_ADRIAN,"['ep012011', 'EP_01']",4.282184499999998,24,4.4179985,24,11.7,120.0,6.402708230769231,156,4.350091499999999,48,4.350091499999999,48,70.288141275391,544.1720744623126
173,4,2011_HILARY,"['ep092011', 'EP_09']",4.99063,12,3.1613375,24,13.7,125.0,9.905271958333335,288,3.7711016666666666,36,4.99063,12,85.58553511818032,196.43696205226436
174,5,2011_DORA,"['ep042011', 'EP_04']",8.588937999999999,12,7.449016,36,10.4,135.0,7.615604333333333,180,7.7339965,48,8.289079,24,81.86931811825374,371.3340348507391
175,7,2011_KENNETH,"['ep132011', 'EP_13']",4.9152456,60,6.9183495,24,11.5,125.0,7.428814666666667,126,5.3000265,72,5.319059111111111,108,82.02259756134012,791.0970527932989
176,10,2011_JOVA,"['ep102011', 'EP_10']",10.096626,36,4.777180749999999,48,12.1,110.0,4.431350999999999,144,7.056943,84,9.122732799999998,60,79.75231091182668,827.0423086315495
177,0,2012_BUD,"['ep022012', 'EP_02']",8.927964333333334,36,7.326173,48,9.7,100.0,6.042213555555556,108,8.012654999999999,84,8.924022166666667,72,71.98303940172148,807.8626943004984
178,1,2012_EMILIA,"['ep052012', 'EP_05']",4.202069499999999,24,6.336053333333332,36,10.3,120.0,8.17001285,240,5.258442999999999,48,4.745706999999999,36,77.64511042307059,817.3638060310873
179,8,2012_DANIEL,"['ep042012', 'EP_04']",5.885629,24,4.7071755,48,13.8,100.0,6.7278538333333335,216,5.099993333333333,72,5.41085225,48,74.68234363696078,761.0053159059587
180,10,2012_MIRIAM,"['ep132012', 'EP_13']",5.462163999999998,12,7.674863999999999,36,13.9,105.0,9.105852333333331,252,7.121688999999999,48,6.099269,24,78.16332358982953,624.4088950659354
181,11,2012_PAUL,"['ep162012', 'EP_16']",7.196463000000001,12,6.746293000000001,36,13.9,105.0,8.307974470588235,102,6.858835500000001,48,7.196463000000001,12,,
182,5,2013_RAYMOND,"['ep172013', 'EP_17']",7.326173000000001,12,4.771649,24,14.2,110.0,9.377275958333334,288,5.623157,36,7.2967975,24,80.95625519971496,316.1549595417204
183,5,2014_SIMON,"['ep192014', 'EP_19']",7.786071250000001,48,6.747437499999998,48,17.9,115.0,12.83924362962963,162,7.274615999999999,84,7.274615999999999,84,76.98174993916722,229.70179349688988
184,8,2014_AMANDA,"['ep012014', 'EP_01']",2.805652333333333,36,0.6487784999999988,24,10.9,135.0,2.9533564166666664,144,1.9429028,60,2.153541666666666,72,72.59989579823407,991.9941932636567
185,9,2014_ISELLE,"['ep092014', 'EP_09']",4.343097333333334,36,7.0817586666666665,36,12.8,120.0,7.071585333333335,234,5.409517,60,6.6909755,264,73.04811353680435,1777.413895656648
186,11,2014_GENEVIEVE,"['ep072014', 'EP_07']",8.258559,60,8.98343952,300,12.2,140.0,8.28698818181818,462,8.8626261,360,10.3452877,120,68.6090592580204,2383.674029428283
187,12,2014_MARIE,"['ep132014', 'EP_13']",7.1735729999999975,12,8.4283265,24,12.6,140.0,7.548344727272727,264,8.010075333333333,36,7.1735729999999975,12,82.93094207762604,473.04567208095824
188,13,2014_CRISTINA,"['ep032014', 'EP_03']",2.1802466666666667,36,2.758473500000001,24,15.5,130.0,11.4818852,210,2.4115374000000003,60,2.4115374000000003,60,74.18839004300933,251.9358241475572
189,17,2014_ODILE,"['ep152014', 'EP_15']",7.566518,24,6.334908833333334,72,14.4,120.0,7.266043677419356,186,6.6428111250000015,96,7.994052333333333,36,80.6820010407003,335.05020849040125
190,18,2014_JULIO,"['ep102014', 'EP_10']",9.0584882,60,11.3414605,48,13.5,105.0,7.200550499999999,336,10.073142555555554,108,10.073142555555554,108,75.51033681941188,1460.9650688418967
191,1,2015_DOLORES,"['ep052015', 'EP_05']",5.369078,24,5.967079249999999,48,12.2,115.0,8.050297219512196,246,6.0876714,60,6.020934333333333,36,80.10886940260662,420.4274696961652
192,3,2015_OLAF,"['ep192015', 'EP_19']",4.603598249999999,48,5.147299333333333,36,9.4,130.0,9.785620565217393,276,4.836613,84,5.054245125,96,72.6925073558662,2322.8485380524644
193,6,2015_ANDRES,"['ep012015', 'EP_01']",7.896896999999999,12,4.326819999999999,36,11.1,125.0,6.84291289473684,228,5.578903,36,7.0627949375,192,67.15164905084586,1160.0245029287744
194,10,2015_JIMENA,"['ep132015', 'EP_13']",6.6627445,48,4.142555499999999,24,12.2,135.0,9.8170628,330,5.822681499999999,72,5.605934999999998,84,78.83164213480049,1405.504645125441
195,13,2015_SANDRA,"['ep222015', 'EP_22']",6.636421000000002,12,7.364831666666666,36,10.8,130.0,16.673824727272724,132,7.182729,48,7.715303,24,80.52875317759711,762.3959775793229
196,14,2015_PATRICIA,"['ep202015', 'EP_20']",2.6302895,24,3.171638,36,13.1,185.0,6.549002999999999,84,2.9675354999999994,48,2.843548,36,,
197,15,2015_IGNACIO,"['ep122015', 'EP_12']",5.1567732500000005,48,5.777283,36,12.8,125.0,9.70169175,336,5.422706,84,6.082578375000001,96,67.69024437334284,2489.6877579709967
198,16,2015_LINDA,"['ep152015', 'EP_15']",7.713204750000001,48,8.9761605,24,13.2,110.0,11.73231303030303,198,8.134190000000002,72,8.517325000000001,84,78.85843683339974,730.5535010774048
199,1,2016_DARBY,"['ep052016', 'EP_05']",7.535235,24,10.206243666666666,36,15.9,105.0,8.053039499999999,336,9.1378402,60,8.476776999999998,48,75.92358867594795,519.4917361391281
200,6,2016_MADELINE,"['ep142016', 'EP_14']",5.464452999999999,12,4.766613199999999,60,13.9,115.0,6.2866962580645165,186,5.080358799999999,60,5.464452999999999,12,66.2029890521379,1940.839259701674
201,11,2016_LESTER,"['ep132016', 'EP_13']",6.621161000000001,24,2.147310500000001,48,16.0,125.0,6.578296750000001,336,3.6385940000000008,72,4.502119250000001,48,76.88556958715704,753.2331044845726
202,13,2016_BLAS,"['ep032016', 'EP_03']",10.953475,12,9.655866333333332,36,11.4,120.0,7.172226529411765,204,9.9802685,48,6.803994875,192,80.15913730800199,962.3950400642544
203,15,2016_SEYMOUR,"['ep202016', 'EP_20']",4.694331666666667,36,3.3871855,24,13.2,130.0,12.724963185185183,162,4.171473199999999,60,4.171473199999999,60,85.81135452271091,560.2583572643113
204,1,2017_EUGENE,"['ep052017', 'EP_05']",2.71689,12,3.332122333333333,36,11.6,100.0,4.604669384615385,156,3.076771666666667,36,2.71689,12,76.87897170669635,1064.6869819040974
205,9,2017_KENNETH,"['ep132017', 'EP_13']",8.480083333333335,36,8.964842666666668,36,14.9,115.0,11.138078611111109,216,8.722463000000001,72,8.722463000000001,72,75.4996124474967,1277.7677495740527
206,12,2017_FERNANDA,"['ep062017', 'EP_06']",7.780158,24,6.501369999999998,24,11.9,125.0,7.610263333333333,252,7.140763999999999,48,7.140763999999999,48,74.12941566645445,1100.373722451849
207,0,2018_ALETTA,"['ep022018', 'EP_02']",7.492507,12,6.311128666666666,36,14.2,120.0,3.335663435897435,234,6.60647325,48,7.492507,12,74.22294326667716,586.0686369687089
208,4,2018_WILLA,"['ep242018', 'EP_24']",10.747719333333334,36,7.066371500000001,24,14.9,140.0,7.341337625,96,9.2751802,60,8.465967833333336,72,,
209,6,2018_LANE,"['ep142018', 'EP_14']",7.396368999999999,48,6.41744,36,10.7,140.0,11.121334999999998,336,6.976827999999999,84,6.74305025,96,77.88628827790157,1931.6590480140007
210,7,2018_OLIVIA,"['ep172018', 'EP_17']",6.374712000000001,24,9.367579500000002,48,15.4,115.0,9.77393804,300,8.369957000000001,72,7.882781500000001,48,81.77437266589045,787.9719453511983
211,12,2018_NORMAN,"['ep162018', 'EP_16']",6.751633999999999,24,7.127411500000001,24,17.2,130.0,13.11145264,300,6.93952275,48,6.93952275,48,77.78568905936221,716.2721207290502
