,index,name,id,mean_shear,time_before_tcg,mean_shear_hu,time_before_hu,lat,final_inten,mean_shear_max,time_ts_max,mean_shear_cat1,time_ts_cat1,E_MPI,distance
40,6,2007_KAJIKI,"['wp192007', 'WP_19']",9.1615695,24,8.185310999999999,24,19.1,115.0,15.9483782,60,9.1615695,24,73.47093196912141,1230.397979776419
41,0,2008_NEOGURI,"['wp022008', 'WP_02']",6.290018999999998,36,6.736183250000001,48,9.0,100.0,12.6413073,120,6.311573749999999,48,73.77587841549611,78.08925333433773
42,7,2008_JANGMI,"['wp192008', 'WP_19']",9.694525000000002,12,11.242397666666667,36,11.8,140.0,10.57636225,96,10.900065,36,75.14684290083014,1320.8525587488311
43,10,2008_FENGSHEN,"['wp072008', 'WP_07']",8.473979333333334,36,13.5747615,24,9.6,110.0,18.622864875,96,7.5653735,24,75.65381567863373,606.1664545147445
44,13,2008_NURI,"['wp132008', 'WP_13']",9.926476999999998,36,15.698953500000002,24,15.9,100.0,20.74562625,96,9.517509,24,74.01411962504524,1283.6843169405768
45,14,2008_RAMMASUN,"['wp032008', 'WP_03']",10.24007,24,9.903078333333331,36,8.2,135.0,10.602399625,96,9.919101333333334,36,73.00305366844691,584.2425492982461
46,15,2008_NAKRI,"['wp062008', 'WP_06']",8.838111999999999,42,11.5596785,24,14.4,125.0,12.931389,84,8.298235,24,70.56805986023542,1301.5568358838534
47,19,2008_SINLAKU,"['wp152008', 'WP_15']",7.548206,24,7.674482500000002,24,16.3,125.0,9.185277,84,7.548206,24,76.1642033727401,312.8519370446229
48,4,2009_VAMCO,"['wp112009', 'WP_11']",5.260922749999999,48,9.282505,36,14.0,120.0,9.896650636363637,132,4.636852333333333,36,67.47929673231701,2107.827846329026
49,5,2009_PARMA,"['wp192009', 'WP_19']",9.448076,36,14.152734,36,9.2,135.0,18.110701125,96,9.448076,36,72.81753423068648,1283.1316775810883
50,7,2009_KUJIRA,"['wp012009', 'WP_01']",7.687262749999999,48,10.281526333333332,36,13.4,115.0,12.821394375,96,7.684274333333334,36,70.47269490637478,27.030649323938025
51,12,2009_NIDA,"['wp262009', 'WP_26']",8.35069125,48,7.349826000000002,24,8.3,155.0,9.988449555555556,108,8.299760999999998,24,75.78730912153947,1145.1287592844496
52,16,2009_LUPIT,"['wp222009', 'WP_22']",8.902022333333333,36,7.362796999999998,36,11.5,140.0,9.195592363636363,132,8.902022333333333,36,75.59060415787629,1577.067584060316
53,20,2009_CHOI-WAN,"['wp152009', 'WP_15']",9.900535,36,10.821476,24,15.5,140.0,8.976711555555557,108,9.90435,24,70.71946832550547,2005.786795031614
54,2,2010_KOMPASU,"['wp082010', 'WP_08']",8.191415000000001,24,10.368254000000002,36,19.5,105.0,14.744906777777778,108,7.897914333333335,36,70.13203760796485,1283.7271623344852
55,8,2010_CHABA,"['wp162010', 'WP_16']",9.927833444444444,108,7.766423999999999,24,16.6,115.0,19.558716166666667,144,9.193997,24,74.48068030337423,784.0997494536839
56,12,2010_MEGI,"['wp152010', 'WP_15']",10.7287715,48,11.117011333333332,36,11.8,160.0,9.460029666666664,144,10.929059,36,77.05719188788991,1528.5776821676768
57,0,2011_MA-ON,"['wp082011', 'WP_08']",8.810208000000001,36,8.135207333333334,36,19.0,115.0,11.436245909090909,132,8.810208000000001,36,70.31146823570816,2316.8214457893996
58,7,2011_SONGDA,"['wp042011', 'WP_04']",10.029990666666666,36,9.9276978,60,9.2,140.0,9.677034692307693,156,9.539636,60,75.02084959217065,973.2444450643343
59,12,2011_NALGAE,"['wp222011', 'WP_22']",9.752258666666664,36,8.853444666666668,36,19.0,130.0,11.112094222222224,108,9.752258666666664,36,71.38997306529471,909.4871123477122
60,13,2011_NESAT,"['wp202011', 'WP_20']",7.913301500000001,24,11.75259033333333,36,13.7,115.0,14.34481925,96,8.934068333333334,36,75.8826290546364,1190.5292915162463
61,1,2012_GUCHOL,"['wp052012', 'WP_05']",9.367198,48,12.7179888,60,9.6,130.0,15.045553,168,9.4178612,60,,1010.2470252878462
62,4,2012_SON-TINH,"['wp242012', 'WP_24']",7.245549333333334,36,8.774982833333334,72,9.7,105.0,10.4451644,120,8.753110166666666,72,76.12786779586945,61.184965155729685
63,11,2012_MAWAR,"['wp042012', 'WP_04']",10.790447333333333,36,13.747835333333333,36,14.9,105.0,16.910502125,96,10.790447333333333,36,60.947257597671125,185.2655896145071
64,14,2012_BOPHA,"['wp262012', 'WP_26']",9.237488,12,7.661239000000001,84,4.3,150.0,8.405970599999998,180,7.974396,84,,948.647188464644
65,16,2012_BOLAVEN,"['wp162012', 'WP_16']",6.859216999999999,48,13.461964666666663,36,17.5,125.0,13.574849538461535,156,6.533161666666666,36,72.39334372263949,1654.0916308666606
66,19,2012_PRAPIROON,"['wp222012', 'WP_22']",7.635950999999999,36,7.980826999999999,36,17.9,105.0,10.961798636363635,132,7.635950999999999,36,76.6700946102422,1589.3926702019276
67,24,2012_JELAWAT,"['wp182012', 'WP_18']",6.8595985,48,10.22233025,48,13.4,140.0,11.155161333333334,144,6.8595985,48,78.78052040874604,580.6640918233913
