,index,name,id,mean_shear,time_before_tcg,mean_shear_hu,time_before_hu,lat,final_inten,E_MPI,distance
115,21,2015_MELOR,"['wp282015', 'WP_28']",7.1068105,24,5.091600333333333,36,9.95,125.0,70.7532099083892,1089.8216294536855
116,0,2016_NEPARTAK,"['wp022016', 'WP_02']",2.227425499999999,24,6.398364999999999,36,10.025,155.0,77.44859668755595,1362.7458641371916
117,3,2016_CHABA,"['wp212016', 'WP_21']",5.269481066666667,90,5.334285199999999,60,13.975,150.0,,
118,4,2016_SARIKA,"['wp242016', 'WP_24']",2.1385359999999984,12,3.014459999999998,24,13.775,115.0,76.06963871771481,304.314844008964
119,15,2016_MERANTI,"['wp162016', 'WP_16']",3.268030333333332,36,6.880835333333334,36,14.5333,170.0,67.93155107028694,1496.9169388029743
120,16,2016_NOCK-TEN,"['wp302016', 'WP_30']",10.360624,36,9.74545525,48,6.90667,140.0,75.30708821280683,1004.4816658471433
121,19,2016_HAIMA,"['wp252016', 'WP_25']",5.560590999999999,12,4.9665955,24,9.15,145.0,76.25815686420779,1230.3309824677854
122,20,2016_MEGI,"['wp202016', 'WP_20']",6.486491499999998,24,7.1312265,24,16.45,120.0,71.72895554288365,1619.3159471700046
123,24,2016_MALAKAS,"['wp182016', 'WP_18']",4.944087,12,6.252059749999999,48,12.92,115.0,71.6133935619888,1705.8533298799473
124,6,2017_BANYAN,"['wp142017', 'WP_14']",7.95107,24,5.205287333333334,36,16.9733,110.0,61.14209603742093,2882.4571327448525
125,19,2017_LAN,"['wp252017', 'WP_25']",4.261201999999999,24,5.995310250000001,48,10.225,135.0,75.61598812484225,699.117252773486
126,20,2017_TALIM,"['wp202017', 'WP_20']",6.4964105,24,11.506955199999998,60,15.58,120.0,72.60291585448606,1974.220306529182
127,12,2018_YUTU,"['wp312018', 'WP_31']",4.628968,36,6.4128620000000005,24,9.25,150.0,77.32780874375567,1658.8259015129745
128,16,2018_CIMARON,"['wp232018', 'WP_23']",8.326720333333334,36,7.503761249999999,48,13.7667,115.0,77.48552998589248,1887.0726996980663
129,17,2018_MANGKHUT,"['wp262018', 'WP_26']",7.762990499999999,24,6.612767999999999,36,13.075,155.0,73.34160845144862,2303.6251555596755
130,21,2018_SOULIK,"['wp222018', 'WP_22']",6.484584,24,7.192647999999998,24,15.3077,105.0,71.37236983752707,1947.2655291413716
131,22,2018_JEBI,"['wp252018', 'WP_25']",6.609716000000001,24,6.613276666666665,36,15.35,155.0,73.84721132930562,2081.5211751279935
132,24,2018_TRAMI,"['wp282018', 'WP_28']",6.092783500000001,24,5.236061666666667,36,14.9667,140.0,74.0790239994615,1923.8569866547552
133,27,2018_MARIA,"['wp102018', 'WP_10']",3.4329655,24,6.431428333333332,36,11.575,145.0,73.74367095481058,1501.3859104412509
134,0,2019_WUTIP,"['wp022019', 'WP_02']",9.347105666666666,36,14.434026666666668,36,4.7,145.0,74.90494150523688,931.9088051501265
135,4,2019_HALONG,"['wp242019', 'WP_24']",7.677915999999998,24,9.333117333333332,36,13.2615,165.0,71.40260805260951,2154.754772842813
136,6,2019_KROSA,"['wp112019', 'WP_11']",9.09576075,48,6.067223000000002,24,17.8385,100.0,59.86519958444633,1845.5740575706523
137,8,2019_FAXAI,"['wp142019', 'WP_14']",6.036811999999999,84,6.829351,84,16.8333,115.0,76.96433526876217,2585.1233296945425
138,13,2019_BULBUL:MATMO,"['wp232019', 'WP_23']",5.661307000000001,36,8.351475444444441,216,13.175,105.0,76.24077220420183,271.8709814656759
139,15,2019_KAMMURI,"['wp292019', 'WP_29']",9.588467999999995,24,14.046676999999995,36,11.05,120.0,74.3393769250182,1507.4786466182588
140,18,2019_PHANFONE,"['wp302019', 'WP_30']",10.652598666666668,72,13.315214333333332,36,7.6,105.0,,1037.8391292958797
141,20,2019_BUALOI,"['wp222019', 'WP_22']",8.232617,48,4.217711000000001,24,10.6,140.0,78.2827955812235,1864.3445349239366
142,22,2019_HAGIBIS,"['wp202019', 'WP_20']",3.5368606666666658,36,6.876766,24,15.075,160.0,83.3991467844549,2043.69828356564
143,25,2019_LINGLING,"['wp152019', 'WP_15']",3.8922914999999993,72,4.854816,24,16.78,120.0,67.69210173973323,227.76460722474536
144,3,2020_MOLAVE,"['wp212020', 'WP_21']",10.8607705,72,7.975485999999998,24,13.35,105.0,79.18219913328268,190.74371265719316
145,9,2020_VONGFONG,"['wp012020', 'WP_01']",5.94548211111111,108,5.9569695,24,11.275,100.0,65.9495721011729,138.99365830569843
146,18,2020_GONI,"['wp222020', 'WP_22']",3.846021,84,4.2966815,24,16.55,170.0,,
