,level_0,index,name,id,mean_shear,time_before_tcg,mean_shear_hu,time_before_hu,lat
785,288,17,2018_ROSA,"['ep202018', 'EP_20']",5.340847,12,9.816604999999997,24,14.6
788,291,20,2018_HECTOR,"['ep102018', 'EP_10']",8.022029,12,9.58948533333333,36,12.96
806,309,2,2020_DOUGLAS,"['ep082020', 'EP_08']",6.691356999999998,24,7.1089087499999986,48,13.5
826,6,6,2000_ISAAC,"['al132000', 'AL_13']",4.350472999999997,12,4.706539666666667,36,12.3
839,19,7,2001_FELIX,"['al072001', 'AL_07']",6.057113249999999,96,12.833506999999999,36,18.6
844,24,13,2001_MICHELLE,"['al152001', 'AL_15']",4.9175346,60,3.272099666666667,36,15.8
878,58,6,2004_IVAN,"['al092004', 'AL_09']",6.199221999999999,12,8.25455325,48,9.7
885,65,13,2004_KARL,"['al122004', 'AL_12']",4.335975999999999,12,5.4415629999999995,36,11.2
887,67,1,2005_EMILY,"['al052005', 'AL_05']",6.090112999999999,24,5.1710794999999985,48,11.0
935,115,0,2008_BERTHA,"['al022008', 'AL_02']",3.337208999999998,12,6.745434625000001,96,13.1
941,121,7,2008_IKE,"['al092008', 'AL_09']",5.961929000000001,12,7.206687199999999,60,17.3
942,122,9,2008_GUSTAV,"['al072008', 'AL_07']",7.079724000000002,12,6.0660785,24,15.1
953,133,5,2009_FRED,"['al072009', 'AL_07']",10.731442000000001,12,6.513577999999999,24,11.7
985,165,12,2011_OPHELIA,"['al162011', 'AL_16']",5.732647499999999,24,9.865225055555557,216,12.5
991,171,18,2011_RINA,"['al182011', 'AL_18']",6.8145815,48,2.597862000000001,24,16.0
1020,200,1,2014_GONZALO,"['al082014', 'AL_08']",9.528572500000001,24,7.4894549999999995,24,16.4
1026,206,7,2014_EDOUARD,"['al062014', 'AL_06']",5.951501333333333,36,6.6876946,60,17.2
1040,220,7,2016_GASTON,"['al072016', 'AL_07']",7.007493333333332,36,8.1521205,48,12.0
1050,230,3,2017_IRMA,"['al112017', 'AL_11']",6.5372309999999985,12,3.8983955000000012,24,16.2
1052,232,5,2017_LEE,"['al142017', 'AL_14']",3.723286999999999,48,10.653091437499999,192,12.5
1062,242,15,2017_MARIA,"['al152017', 'AL_15']",8.951363,12,6.078667999999999,24,12.2
1115,295,24,2020_TEDDY,"['al202020', 'AL_20']",9.231383999999998,48,7.003614749999999,48,12.9
